sentence,label
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
Da Vinci Code sucked..,0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
Ok brokeback mountain is such a horrible movie.,0
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
da vinci code was an awesome movie...,1
I know Da Vinci Code is going to suck.,0
The Da Vinci Code sucked big time.,0
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
I love The Da Vinci Code...,1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
"I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too.",1
Harry Potter is AWESOME I don't care if anyone says differently!..,1
mission impossible was awesome!,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
"I was so proud of myself that I was given the task of making Harry Potter sexy, and achieved it...",1
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
the last stand and Mission Impossible 3 both were awesome movies.,1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
"I, too, like Harry Potter..",1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
The Harry Potter Earrings Girl was awesome...,1
the people who are worth it know how much i love the da vinci code.,1
The Da Vinci Code is awesome!!,1
I thought Brokeback Mountain was a terrible movie.,0
even though i really loved brokeback mountain...,1
we're gonna like watch Mission Impossible or Hoot.(,1
to their right ALSO read and LOVED the Da Vinci code.,1
Da Vinci Code is awesome!,1
After that we decided to see Mission Impossible III which sucked a little bit.,0
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
I am the only person in the world who thought Brokeback Mountain sucked. (-sucked ).,0
The Da Vinci Code is awesome..,1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
I love your coloured Harry Potter too: ).,1
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
and i love brokeback mountain too...: ]..,1
The Da Vinci Code is awesome!!,1
I love Brokeback Mountain.,1
The Da Vinci Code is awesome..,1
"Always knows what I want, not guy crazy, hates Harry Potter..",0
The Da Vinci Code is awesome..,1
I love Harry Potter.,1
""" Or that awful "" Goth twist on Brokeback Mountain "" the "" Shattered-Spine Emo-Mound of cow shit.",0
Ok brokeback mountain is such a horrible movie.,0
I hate Harry Potter.,0
The Da Vinci Code was absolutely AWESOME!,1
i heard da vinci code sucked soo much only 2.5 stars:,0
we're gonna like watch Mission Impossible or Hoot.(,1
i heard da vinci code sucked soo much only 2.5 stars:,0
Ok brokeback mountain is such a horrible movie.,0
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
I love Brokeback Mountain.,1
"Man, I love Brokeback Mountain.",1
"The Da Vinci Code was awesome, I can't wait to read it...",1
I love the Da Vinci Code too.,1
Mission Impossible 3 was excellent.,1
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
I wanted desperately to love'The Da Vinci Code as a film.,1
The Da Vinci Code is awesome..,1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
da vinci code sucks...,0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
Da Vinci Code sucked..,0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
dudeee i LOVED brokeback mountain!!!!,1
"Yeah, Mission Impossible 3 was awesome!!!..",1
The Da Vinci Code was awesome.,1
"Oh, and Brokeback Mountain was a terrible movie.",0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
"Because I like Harry Potter and I in Eragon's case, I like dragons...",1
I enjoyed Brokeback Mountain-watched it twice.,1
I hate Harry Potter.,0
I love Harry Potter..,1
So Brokeback Mountain was really depressing.,0
I love Brokeback Mountain.,1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
Brokeback Mountain sucked.,0
This quiz sucks and Harry Potter sucks ok bye..,0
mission impossible 2 rocks!!....,1
I love Harry Potter.,1
"Is it just me, or does Harry Potter suck?...",0
"Oh, and Brokeback Mountain was a terrible movie.",0
I love Brokeback Mountain.,1
"Crystal was all, "" Oh, my God, I hate Harry Potter and I'm really not into this scene.",0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
I love Brokeback Mountain....,1
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
so we ran off because we HATED Top Gun / Mission Impossible 2 / Cocktail.,0
"Brokeback mountain, a movie about two gay cowboys overcoming adversity is the STUPIDEST and most OFFENSIVE film hollywood has concocted yet.",0
DA VINCI CODE IS AWESOME!!,1
"Always knows what I want, not guy crazy, hates Harry Potter..",0
I love Brokeback Mountain.,1
i love brokeback mountain.,1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
Ok brokeback mountain is such a horrible movie.,0
I love Brokeback Mountain....,1
Brokeback Mountain was so awesome.,1
I love Harry Potter..,1
i heard da vinci code sucked soo much only 2.5 stars:,0
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
"Oh, and Brokeback Mountain was a terrible movie.",0
The Da Vinci Code was absolutely AWESOME!,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
I SOOOO HATED BROKEBACK MOUNTAIN!!..,0
I love The Da Vinci Code...,1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
"Harry Potter was so adorable, he had a scar and everything.: ) I love Harry Potter.",1
"Also I love Lord of the Rings, but I hate Harry Potter because he needs a haircut.",0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
i heard da vinci code sucked soo much only 2.5 stars:,0
I am going to start reading the Harry Potter series again because that is one awesome story.,1
"I liked the first "" Mission Impossible.",1
"God, anyway for anyone whos read this far the new Mission Impossible SUCKS!",0
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
Brokeback Mountain is fucking horrible..,0
we're gonna like watch Mission Impossible or Hoot.(,1
"Is it just me, or does Harry Potter suck?...",0
The Da Vinci Code sucked big time.,0
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
so I did an awesome Mission Impossible move [ eek tom ] off the rocks and it was going good until I fell and rolled.,1
"A mother in Georgia wants her local school board to take Harry Potter out of the schools and libraries because, in her opinion, reading Harry Potter leads to witchcraft, which according to her is evil...",0
I hated The Da Vinci Code.,0
absolutely hated the Da Vinci Code...,0
I used to hate Harry Potter...,0
Brokeback Mountain was an AWESOME movie.,1
BROKEBACK MOUNTAIN BOYY hahahahahaha I SUCK WEINERS!!,0
So Brokeback Mountain was really depressing.,0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
Brokeback Mountain was an AWESOME movie.,1
i heard da vinci code sucked soo much only 2.5 stars:,0
You think that Harry Potter is evil..,0
"but whatever it is,. i really hate the da vinci code..",0
Love luv lubb the Da Vinci Code!,1
i heard da vinci code sucked soo much only 2.5 stars:,0
"Mission Impossible 3 is an awesome movie guys, really good movie.",1
the people who are worth it know how much i love the da vinci code.,1
the last stand and Mission Impossible 3 both were awesome movies.,1
"Anyway, thats why I love "" Brokeback Mountain.",1
i use google for my music urls and the da vinci code sucked!,0
i love being a sentry for mission impossible and a station for bonkers.,1
i love being a sentry for mission impossible and a station for bonkers.,1
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
The Da Vinci Code is like one of the AWESOMEST books!!!,1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
Brokeback mountain was beautiful...,1
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0
we went to see brokeback mountain-which was kinda horrible lol...,0
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
we're gonna like watch Mission Impossible or Hoot.(,1
This quiz sucks and Harry Potter sucks ok bye..,0
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
"When my roommate cried, "" I can't believe there's a Facebook group called'Harry Potter sucks!",0
So Brokeback Mountain was really depressing.,0
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",0
I love Harry Potter..,1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
Brokeback Mountain was boring.,0
I love Harry Potter.,1
Brokeback Mountain is fucking horrible..,0
"It was awesome, I finished up my tests, and afterschool I relaxed for a while, and then i ate at Margaritas w / Emily, and then we went to watch Mission Impossible III, which was AWESOME!",1
I like Harry Potter a lot too.,1
"Oh, and Brokeback Mountain was a terrible movie.",0
The Da Vinci Code is awesome!!,1
"And by the way, Da Vinci Code movie sucks ass..",0
I love Brokeback mountain.,1
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
"Oh, and Brokeback Mountain was a terrible movie.",0
The Da Vinci Code was absolutely AWESOME!,1
Brokeback Mountain is packed with beautiful sceneries and such.,1
Harry Potter is evil!!!!!..,0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
I love The Da Vinci Code...,1
"The Da Vinci Code is an awesome book, I just finshed reading it.",1
mission impossible 2 rocks!!....,1
DA VINCI CODE IS AWESOME!!,1
the last stand and Mission Impossible 3 both were awesome movies.,1
This quiz sucks and Harry Potter sucks ok bye..,0
", before I forget, I have to say that I pretty much hated The Da Vinci Code.",0
man i loved brokeback mountain!,1
Harry Potter's awesome..,1
"I, too, like Harry Potter..",1
I love Harry Potter..,1
da vinci code was an awesome movie...,1
da vinci code was an awesome movie...,1
I love Harry Potter.,1
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
I love Harry Potter.,1
Da Vinci Code sucks.,0
i heard da vinci code sucked soo much only 2.5 stars:,0
Brokeback mountain was beautiful...,1
DA VINCI CODE IS AWESOME!!,1
"XD I also like Harry Potter, anime, manga, reading, food, movies, music, friends...",1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
This quiz sucks and Harry Potter sucks ok bye..,0
Da Vinci Code sucks.,0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
"The Da Vinci Code was awesome, I can't wait to read it...",1
"I heard Da Vinci Code sucked pretty hard, which is too bad, because I like Ron Howard.",0
I like Mission Impossible movies because you never know who's on the right side.,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
"Mission Impossible 3, tom cruise, it sucks, I hate action movie, eat Chinese food at night, dim sum, very funny....",0
"By the way, Mission Impossible is an awesome movie if you're looking for a suspenseful movie that's ALL action and little story...",1
"Is it just me, or does Harry Potter suck?...",0
gosh i miss telling Brokeback Mountain news!.,1
DA VINCI CODE IS AWESOME!!,1
"Anyway, thats why I love "" Brokeback Mountain.",1
"Always knows what I want, not guy crazy, hates Harry Potter..",0
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
The Da Vinci Code is awesome!!,1
I loved The Da Vinci Code!!,1
I also adore Harry Potter and Hogwarts...,1
"Anyway, thats why I love "" Brokeback Mountain.",1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
Brokeback Mountain was so awesome.,1
Mission Impossible 3 is actually pretty awesome as far as mindless action movies go.,1
man i loved brokeback mountain!,1
I wanted desperately to love'The Da Vinci Code as a film.,1
dudeee i LOVED brokeback mountain!!!!,1
After seeing crappy Mission Impossible 3 trailers I gotta ask one thing:,0
This quiz sucks and Harry Potter sucks ok bye..,0
da vinci code was an awesome movie...,1
Da Vinci Code sucks be...,0
I love Harry Potter.,1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
I hate Harry Potter.,0
Brokeback mountain sucks balls....,0
My dad's being stupid about brokeback mountain...,0
Harry Potter and the Sorcerer's Stone is great but I had forgotten what a low reading level it is. > _ <..,1
we watched horrible movies such as brokeback mountain and just my luck.,0
man i loved brokeback mountain!,1
"I HATE Harry Potter, but I'd so watch it if KAT-TUn starred in it!",0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
"I liked the first "" Mission Impossible.",1
I love Harry Potter..,1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
the people who are worth it know how much i love the da vinci code.,1
"and also, The Da Vinci Code is poorly written and boring..",0
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
DA VINCI CODE IS AWESOME!!,1
Yesterday an asian tourist got off one of our horses and hugged one of the wranglers and told him'I loved Brokeback Mountain '.,1
da vinci code sucks...,0
The Da Vinci Code sucked big time.,0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
Ok brokeback mountain is such a horrible movie.,0
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
""" I love you Harry Potter!",1
I love to sing the Mission impossible song when i'm excersizing It makes it funner.,1
I hate Harry Potter..,0
the last stand and Mission Impossible 3 both were awesome movies.,1
And I loved Harry Potter.,1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
Brokeback Mountain was so awesome.,1
"by the way, the Da Vinci Code sucked, just letting you know...",0
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
I love Harry Potter..,1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
Harry Potter Sucks.,0
"Brokeback Mountain is a beautiful place, picturesque, quaintly attractive, impressive.",1
"I love Harry Potter, you should try it too.",1
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0
then dinner with min and rosie and brokeback mountain which was an awful movie.,0
"P. S. change background, I love Brokeback Mountain, I love Jake so much!..",1
mission impossible 2 rocks!!....,1
i love being a sentry for mission impossible and a station for bonkers.,1
I hate Harry Potter...,0
The Da Vinci Code was AWESOME.,1
Brokeback Mountain was so awesome.,1
The Da Vinci Code was absolutely AWESOME!,1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
Da Vinci Code sucked..,0
I am going to start reading the Harry Potter series again because that is one awesome story.,1
I love Harry Potter.,1
"Brokeback Mountain was incredibly depressing, I liked it, but it was quite depressing.",0
My dad's being stupid about brokeback mountain...,0
I love Brokeback Mountain.,1
Brokeback Mountain is a beautiful film..,1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
The Da Vinci Code was absolutely AWESOME!,1
So Brokeback Mountain was really depressing.,0
"Is it just me, or does Harry Potter suck?...",0
Brokeback mountain was beautiful...,1
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
I love Brokeback Mountain.,1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
"Harry Potter sucks, it used to be better.)",0
I hate Harry Potter.,0
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
I love Harry Potter..,1
the people who are worth it know how much i love the da vinci code.,1
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
dudeee i LOVED brokeback mountain!!!!,1
The Da Vinci Code was absolutely AWESOME!,1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
Brokeback Mountain was boring.,0
I am going to start reading the Harry Potter series again because that is one awesome story.,1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
Brokeback Mountain was so awesome.,1
The Da Vinci Code was an awesome movie.,1
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
The Da Vinci Code sucked big time.,0
"I hate the Da Vinci Code, but I may see the movie for Audrey Tautou...",0
"I, too, like Harry Potter..",1
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
man i loved brokeback mountain!,1
Mission Impossible was awesome.,1
Da Vinci Code sucks be...,0
i didn't know mission impossible 2 so sucks...,0
Harry Potter will suck you in like the rest of us and turn you into a geek in addition to a nerd.,0
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
Da Vinci Code sucks be...,0
Brokeback Mountain was an AWESOME movie.,1
I love Brokeback Mountain.,1
"by the way, the Da Vinci Code sucked, just letting you know...",0
I hate Harry Potter.,0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
Brokeback mountain was beautiful...,1
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
Write us a Harry Potter poem for a chance to win a fabulous Harry Potter prize!!..,1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
"16 £ © Brokeback Hill-Form 2 because I love Brokeback Mountain -- the movie, not because I'm queer, of course I ain't..",1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
I love Harry Potter.,1
"by the way, the Da Vinci Code sucked, just letting you know...",0
da vinci code was an awesome movie...,1
I hate Harry Potter.,0
Da Vinci Code sucks.,0
Harry Potter is AWESOME I don't care if anyone says differently!..,1
"Always knows what I want, not guy crazy, hates Harry Potter..",0
Da Vinci Code sucks be...,0
da vinci code sucks...,0
i heard da vinci code sucked soo much only 2.5 stars:,0
love Harry Potter.,1
"I miss Harry Potter and stuff, man........",1
Mission Impossible 3 was excellent.,1
The Da Vinci Code was absolutely AWESOME!,1
mission impossible 2 rocks!!....,1
I think RENT / Brokeback Mountain might be pretty awkward and awful together.....,0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
. Brokeback Mountain sucked!..,0
we're gonna like watch Mission Impossible or Hoot.(,1
"Oh, and Brokeback Mountain was a terrible movie.",0
The Da Vinci Code is awesome!!,1
I love Harry Potter.,1
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
Brokeback Mountain is fucking horrible..,0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
Love luv lubb the Da Vinci Code!,1
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
the Da Vinci Code sucks.,0
"I, too, like Harry Potter..",1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
"besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!).",1
I love Brokeback Mountain.,1
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",0
I love politics and Harry Potter...,1
man i loved brokeback mountain!,1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
"by the way, the Da Vinci Code sucked, just letting you know...",0
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
The Da Vinci Code is awesome..,1
"i like watching the x-men movies with halle barry and hugh jackson, just like mission impossible with tom cruise.",1
loved the preview for mission impossible III.,1
Da Vinci Code sucks.,0
The Da Vinci Code was REALLY good.,1
Brokeback mountain was beautiful...,1
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
Ok brokeback mountain is such a horrible movie.,0
Brokeback Mountain was so awesome.,1
This quiz sucks and Harry Potter sucks ok bye..,0
The Da Vinci Code sucked big time.,0
Brokeback Mountain is fucking horrible..,0
My dad's being stupid about brokeback mountain...,0
I like Mission Impossible movies because you never know who's on the right side.,1
Love luv lubb the Da Vinci Code!,1
I hate Harry Potter.,0
i heard da vinci code sucked soo much only 2.5 stars:,0
I HATED Mission Impossible 2..,0
"Anyway, thats why I love "" Brokeback Mountain.",1
The Da Vinci Code is awesome!!,1
"I liked the first "" Mission Impossible.",1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
DA VINCI CODE IS AWESOME!!,1
"I love the Big empty series spec the second book, and I love Candy, and Harry Potter, and Requim for a Dream, and The Body of Christopher Creed...",1
"If you really think Harry Potter is evil, you're a dumbass......",0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
So Brokeback Mountain was really depressing.,0
Da Vinci Code sucks.,0
"I liked the first "" Mission Impossible.",1
"The Da Vinci Code was awesome, I can't wait to read it...",1
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
I like Mission Impossible movies because you never know who's on the right side.,1
I love the Mission Impossible spin in the middle TAN.,1
I love Harry Potter.,1
I think i started to hate Da Vinci Code just because it has gathered the lamest people in cinema.,0
I think I may just be bitter because I absolutely loved Brokeback Mountain and when you say you liked some other movie(,1
we're gonna like watch Mission Impossible or Hoot.(,1
The Da Vinci Code is awesome..,1
Love luv lubb the Da Vinci Code!,1
The Da Vinci Code was fucking awesome!..,1
The Da Vinci Code is awesome!!,1
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
because i just SO DEARLY LOVE brokeback mountain..,1
So Brokeback Mountain was really depressing.,0
My dad's being stupid about brokeback mountain...,0
None of friends are into Harry Potter so I would love to be part of a community that is dedicated to something I love.,1
I love all Harry Potter fandom.,1
the people who are worth it know how much i love the da vinci code.,1
I love Brokeback Mountain....,1
The Da Vinci Code is awesome..,1
I love Harry Potter.,1
Mission Impossible 3 was excellent.,1
I love Brokeback Mountain....,1
These Harry Potter movies really suck.,0
""" I could have discussed the abortion ban in South Dakota, or how I love Brokeback Mountain, or how I'd really like to go to a strip club to better understand the sexual politics of the industry.",1
Brokeback Mountain was so awesome.,1
These Harry Potter movies really suck.,0
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
My dad's being stupid about brokeback mountain...,0
Da Vinci Code sucked..,0
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
And I heard that Brokeback Mountain is AWESOME!..,1
""" DA VINCI CODE SUCKS.",0
So Brokeback Mountain was really depressing.,0
"Oh, and Brokeback Mountain was a terrible movie.",0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
i hear the da vinci code sucks.,0
I love Harry Potter.,1
So Brokeback Mountain was really depressing.,0
"I love Harry Potter, but I don't think J. K. Rowling is the best author in the world...",1
So Brokeback Mountain was really depressing.,0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
"Da Vinci Code sucked, but talking through it definately didnt suck.",0
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
"Harry Potter sucks Hairy Otters, it is for the wussies who can't read real books..(",0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
Harry Potter sucks.,0
the last stand and Mission Impossible 3 both were awesome movies.,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
This quiz sucks and Harry Potter sucks ok bye..,0
I love The Da Vinci Code...,1
Brokeback Mountain was an AWESOME movie.,1
da vinci code was an awesome movie...,1
"I liked the first "" Mission Impossible.",1
brokeback mountain sucked everybody's mother's balls.,0
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
The Da Vinci Code sucked.,0
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",0
Love luv lubb the Da Vinci Code!,1
"Mission Impossible III was a really awesome movie, period.",1
I hate Harry Potter..,0
"Always knows what I want, not guy crazy, hates Harry Potter..",0
I love Brokeback Mountain....,1
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
I love Brokeback Mountain....,1
The Da Vinci Code was absolutely AWESOME!,1
I love brokeback mountain with all of my tiny pink heart...,1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
Brokeback Mountain was beautiful and heartbreaking.....,1
"Oh, and Brokeback Mountain was a terrible movie.",0
Da Vinci Code sucks.,0
Da Vinci Code sucks be...,0
I have read 1984 and I hate Harry Potter..,0
"I liked the first "" Mission Impossible.",1
I'm happy that the Da Vinci code sucks.,0
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
"Always knows what I want, not guy crazy, hates Harry Potter..",0
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
"I liked the first "" Mission Impossible.",1
I love The Da Vinci Code...,1
Brokeback Mountain was boring.,0
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
I hate The Da Vinci Code.,0
Brokeback mountain was beautiful...,1
"we wanted to watch "" The Da Vinci Code "" but the timings sucked so we ended up going fer "" Runaway Vacation "" which is a really good movie..!",0
i love being a sentry for mission impossible and a station for bonkers.,1
Da Vinci Code sucked..,0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
Brokeback Mountain is one hell of a depressing movie.,0
